topic,year,bibcite,authors,title,journal,sample,age,learning task,feedback,optimal response,outcome,comparisons,finding,social,learning rate,performance,notes
rl,2006,,"Galvan, A., Hare, T. A., Parra, C. E., Penn, J., Voss, H., Glover, G., & Casey, B. J.",Earlier development of the accumbens relative to orbitofrontal cortex might underlie risk-taking behavior in adolescents., The Journal of Neuroscience,,,,,,,,,,,,
reward,2007,,"Galvan, A., Hare, T., Voss, H., Glover, G., & Casey, B. J. ",Risk-taking and the adolescent brain: who is at risk?,developmental science,"Adults = 10, adolescents = 7, children = 9",,winning money,,,"after selecting a brain region based on sensitivity to reward magnitude, we found that activity in this region during reward correlated with self-report of engaging in behaviors for which people expected to be rewarded. Essentially asking, if you take Nacc as �liking rewards�: How much do you like rewards? And correlating it with: How much do you think you�d do things that you think will be rewarding?",,correlation between Nacc activity �A priori ROI� and CARE questionnaire � that is expected involvement in rewarding activities predicted by reward sensitive neural region.,,,,
rl,2008,duijvenvoorde2008,"Duijvenvoorde, A. C. K. van, Zanolie, K., Rombouts, S. A. R. B., Raijmakers, M. E. J., & Crone, E. A.",Evaluating the Negative or Valuing the Positive? Neural Mechanisms Supporting Feedback-Based Learning across Development.,Journal of Neuroscience,"Adults = 18, adolescents = 19, children = 18","Adults [18, 25]; adolescents [11, 13]; children [8, 9]",Deterministic RL,correct or incorrect,choosing correct image,performance,age correlation,Adults are better than early adolescents are better than children. Better performance on positive feedback trials.,0,NA,Adol < adul,
rl,2009,vandenbos2009a,"Van Den Bos, W., G�ro?lu, B., Van Den Bulk, B. G., Rombouts, S. A., & Crone, E. A.",Better than expected or as bad as you thought? The neurocognitive development of probabilistic feedback processing.,Frontiers in Human Neuroscience,"Adults = 22, adolescents = 27, children = 18","Adults [18, 22]; adolescents [13, 16]; children [8, 11]",PLT,correct or incorrect,"Reward 80/20, or 70/30 for A/B, C/D",percent correct choices,,,0,NA,Adol < adul,same sample as van den bos 2012
rl,2010,cohen2010,"Cohen, J. R., Asarnow, R. F., Sabb, F. W., Bilder, R. M., Bookheimer, S. Y., Knowlton, B. J., & Poldrack, R. A.",A unique adolescent response to reward prediction errors. ,Nature Neuroscience,"Adults = 11, adolescents = 16, children = 18",,PRL,,,performance,,Age predicts better performance,0,NA,Adol < adul,"Accuracy percent on predictable trials (last block) for children, adol, adul: 68.3(18.7) 79.8(15.1) 84.1(16.0)"
rl,2012,vandenbos2012,"van den Bos, W., Cohen, M. X., Kahnt, T., & Crone, E. A.",Striatum�Medial Prefrontal Cortex Connectivity Predicts Developmental Changes in Reinforcement Learning. ,Cerebral Cortex,"Adults = 22, adolescents = 27, children = 18","Adults [18, 22]; adolescents [13, 16]; children [8, 11]",PLT,correct or incorrect,"Reward 80/20, or 70/30 for A/B, C/D",learning rate,age regression,Age related decrease in learning rate for negative feedback,0,negative:  adol = adul; positive adol ~< adul,NA,same sample as van den bos 2009
rl,2013,christakou2013,"Christakou, A., Gershman, S. J., Niv, Y., Simmons, A., Brammer, M., & Rubia, K.",Neural and Psychological Maturation of Decision-making in Adolescence and Young Adulthood., Journal of Cognitive Neuroscience,"Adults = 19, adolescents = 18","Adults [18, 31]; adolescents [12, 18]",IGT,�money� reward or loss for cards chosen,choosing the good decks,preference ratio,age correlation,"performance (beneficial decisions) increases with age. �The maturation profile of both [learning rate] parameters echoed their relationship with performance: sensitivity to positive PEs decreased with increasing age across the whole sample, r(35) = ?0.328, p < .05. Conversely, sensitivity to negative PEs increased with age, but only across adolescence, r(16) = 0.567, p < .05, not in adulthood, r(17) = 0.093, p = ns, echoing the pattern of developmental improvement in performance.�",0,"Depends on whether feedback is positive or negative. Smaller learning rate with age, for positive feedback; bigger learning rate with age, for negative feedback.",Adol < adul,
rl,2014,jones2014,"Jones, R. M., Somerville, L. H., Li, J., Ruberry, E. J., Powers, A., Mehta, N., � Casey, B. J.",Adolescent-specific patterns of behavior and neural activity during social reinforcement learning. ,"Cognitive, Affective, & Behavioral Neuroscience","Adults = 37, adolescents = 45, children = 38","Adults [18, 25]; adolescents [13, 17]; children [8, 12]","probabilistic instrumental learning � participant had to respond to face with which side eye had winked, and then they were reinforced with an indication that they had �received� a note from the winking peer (3 total peers).",note in middle hand,no particular response required for earning reward (any response to wink counted),reaction time (modeled with RW),age,"accelerating quadratic for learning rate, with highest learning rate in childhood, looking like it asymptotes in adulthood. But the outcome is reaction time so�.",1,"Child > adol, adul",NA,no performance measure (reaction time not necessarily measure of performance). No descriptive reaction time data presented.
rl,2016,davidow2016,"Davidow, J. Y., Foerde, K., Galv�n, A., & Shohamy, D.",An Upside to Reward Sensitivity: The Hippocampus Supports Enhanced Reinforcement Learning in Adolescence.,Neuron,"Adults = 31, adolescents = 41","Adults [20, 30]; adolescents [13, 17]","Butterfly cue, choose one of two flowers. ","correct or incorrect, with image to be tested later for recognition",Highest probabilistically associated choice (probably about P = .80),"overall performance, learning rates",adolescents to adults,"adolescents choose optimal choice more often than adults by task end, and have lower learning rate",0,adol<adul,adol>adul,
rl,2016,palminteri2016,"Palminteri, S., Kilford, E. J., Coricelli, G., & Blakemore, S.-J.",The Computational Development of Reinforcement Learning during Adolescence.,PLOS Computational Biology,"Adults = 20, adolescents = 18","Adults [18, 32]; adolescents [12, 16]",probabilistic instrumental learning ,points,Reward 75/25,"correct choice, learning rate",age group,,0,,adol<adul,
reward,2016,,braams,,DCN,N = 169,8-27,winning money,,,,,"Actually, no evidence of reward sensitivity as measured by Nacc related to alcohol use � this is one of a bunch of comparisons. �right NAcc activation explained significant variance in the average amount of glasses (B = .13, t = 2.01, p = .046)�",,,,
rl,2016,lockwood2016,"Lockwood, P. L., Apps, M. A. J., Valton, V., Viding, E., & Roiser, J. P.",Neurocomputational mechanisms of prosocial learning and links to empathy.,Proceedings of the National Academy of Sciences,N = 31,"[19, 32]",probabilistic instrumental learning ,points,Reward 75/25,"points earned, learning rate, inverse temperature","conditions, with self as the control condition","higher learning rate in self v prosoc or no-one condition, higher temperature in no-one condition, correlation with empathy subscale and prosocial-self learning rate",0.5,NA,NA,"Played for points for �self, someone else or no one�. The obvious finding is that people on average do better when they play for their own points. Not sure how garden-of-forking paths empathy correlation is (p = .01)"
rl,2017,rosenblau2017,"Rosenblau, G., Korn, C. W., & Pelphrey, K. A.",A computational account of optimizing social predictions reveals that adolescents are conservative learners in social contexts.,The Journal of Neuroscience,"Adults = 21, adolescents = 24","Adults [23, 36]; adolescents [10, 17]","Rating target preferences for 3 general categories of items: activity, fashion, food",actual target�s rating,Same rating on item as target rating on item. Not clear if this is stable within subcategory,learning rates and prediction error (difference between actual target rating and participant-predicted rating),adolescents to adults,learning rate is smaller in adolsecents. Prediction error is on average lower in adults (adults perform better),1,adol<adul,adol<adul,
rl,2017,peters2017,"Peters, S., & Crone, E. A.",Increased striatal activity in adolescence benefits learning., Nature Communications,Maybe 250 or so (736 scans over 3 waves),"longitudinal, ages 8-25 at wave 1",sort cue into 1 of 3 boxes,correct or incorrect. Not probabilistic,correct sort,"� Feedback-learning performance was defined as the
percentage of feedback during the learning phase, which was
successfully used on the next trial (stay for positive feedback,
switch for negative feedback).�",longitudinal trend,learning ability improves across age from 10-30,0,,adol<adul,"easy task (just remembering correct or incorrect feedback on last stimulus) leads to high accuracy all around, but younger people are not quite as good."
rl,2017,kamkar2017,"Kamkar, N. H., Lewis, D. J., van den Bos, W., & Morton, J. B.",Ventral striatal activity links adversity and reward processing in children.,Developmental Cognitive Neuroscience,Study 1 = 40,"[9, 12]",,points,"Reward 80/20, or 70/30 for A/B, C/D",proportion choose A or avoid B,correlation with adversity,"�Adversity was positively correlated with reward-related learning, r(38) = 0.547, but not loss-related learning, r(38) = 0.189, p = 0.242�",0,N/A,N/A,not sure it makes sense
rl,2017,kamkar2017,"Kamkar, N. H., Lewis, D. J., van den Bos, W., & Morton, J. B.",Ventral striatal activity links adversity and reward processing in children.,,Study 2 = 26 (12 overlapped from study 1),"[9, 12]",,,,,,"Total Adversity was positively associated with gain-pair, r(24) = 0.39, p = 0.048, but not loss-pair accuracy, r(24) = 0.25, p = 0.218",0,,,
rl,2017,mccormick2017,"McCormick, E. M., & Telzer, E. H.",Adaptive Adolescent Flexibility: Neurodevelopment of Decision-making and Learning in a Risky Context. ,Journal of Cognitive Neuroscience,N = 77,"[8, 17.7]",BART,points or pop,pump N times (not specified),"points earned, learning",age correlation,,0,+age cor,+age cor,
rl,2017,hanson2017,"Hanson, J. L., van den Bos, W., Roeber, B. J., Rudolph, K. D., Davidson, R. J., & Pollak, S. D.",Early adversity and learning: implications for typical and atypical behavioral development.,Journal of Child Psychology and Psychiatry,N = 81,"[12, 17]",Probabilistic learning task,correct or incorrect,"Reward 80/20, or 70/30 for A/B, C/D",Early adversity versus no early adversity,early adversity,"As expected, youths who suffered this early
adversity had higher rates of behavioral problems
than a community sample of their peers. The data
from this study provides new insights into why these
behavioral problems arise. First, the participants
who had been exposed to early adversity were less
able than their peers to correctly learn which stimuli
were likely to result in reward, even after repeated
feedback. This difficulty discerning and using information from the environment explained the higher
levels of behavioral problems in participants exposed
to early adversity, and was maintained even after
statistically controlling for adolescents� general
cognitive abilities.",0,NA,NA,
rl,2018,,???,Advice taking,???,"Adults = 25, adolescents = 24, children = 24","Adults [18, 22]; adolescents [13, 15]; children [8, 10]","IGT 4 decks, 2 good, 2 bad, one good deck recommended by �previous participant� before task start",reward from card,choosing the good decks,learning model parameters,all ages (continuous?),"adolescents learning rate is smaller than or equal to adults (gains, losses; n.s.), while theta (temp) is higher in adults. Adult performance looks better",0.5,adol<adul,Adol = adul,exploratory versus exploitatory
rl,2015,decker2015,"Decker, J. H., Lourenco, F. S., Doll, B. B., & Hartley, C. A.",Experiential reward learning outweighs instruction prior to adulthood.,"Cognitive, Affective, & Behavioral Neuroscience,","Adults = 26, adolescents = 31, children = 30","Adults [18, 34]; adolescents [13, 17]; children [6, 12]",PLT,correct or incorrect,"80/20, 70/30, 70/30 FALSE INSTRUCTION","performance, model parameters",age group,"Adults do best, but not significantly better then adolescents (but significantly better than children). Adults were more biased toward the false instruction",0,ambiguous,adol<adul (ns),
